fecha,mes,anio,linea,tipo_pago,afluencia,temporal_fecha,..anio_fecha
2024-02-01,Febrero,2024,Línea 1,Prepago,471365,2024-02,2024
2024-02-01,Febrero,2024,Línea 1,Gratuidad,23202,2024-02,2024
2024-02-01,Febrero,2024,Línea 2,Prepago,251257,2024-02,2024
2024-02-01,Febrero,2024,Línea 2,Gratuidad,12870,2024-02,2024
2024-02-02,Febrero,2024,Línea 1,Prepago,450681,2024-02,2024
2024-02-02,Febrero,2024,Línea 1,Gratuidad,24862,2024-02,2024
2024-02-02,Febrero,2024,Línea 2,Prepago,233158,2024-02,2024
2024-02-02,Febrero,2024,Línea 2,Gratuidad,11886,2024-02,2024
2024-02-03,Febrero,2024,Línea 1,Prepago,284647,2024-02,2024
2024-02-03,Febrero,2024,Línea 1,Gratuidad,16714,2024-02,2024
2024-02-03,Febrero,2024,Línea 2,Prepago,174044,2024-02,2024
2024-02-03,Febrero,2024,Línea 2,Gratuidad,8212,2024-02,2024
2024-02-04,Febrero,2024,Línea 1,Prepago,180597,2024-02,2024
2024-02-04,Febrero,2024,Línea 1,Gratuidad,11729,2024-02,2024
2024-02-04,Febrero,2024,Línea 2,Prepago,102162,2024-02,2024
2024-02-04,Febrero,2024,Línea 2,Gratuidad,6041,2024-02,2024
2024-02-05,Febrero,2024,Línea 1,Prepago,205667,2024-02,2024
2024-02-05,Febrero,2024,Línea 1,Gratuidad,12643,2024-02,2024
2024-02-05,Febrero,2024,Línea 2,Prepago,113562,2024-02,2024
2024-02-05,Febrero,2024,Línea 2,Gratuidad,7353,2024-02,2024
2024-02-06,Febrero,2024,Línea 1,Prepago,460267,2024-02,2024
2024-02-06,Febrero,2024,Línea 1,Gratuidad,25415,2024-02,2024
2024-02-06,Febrero,2024,Línea 2,Prepago,241650,2024-02,2024
2024-02-06,Febrero,2024,Línea 2,Gratuidad,13250,2024-02,2024
2024-02-07,Febrero,2024,Línea 1,Prepago,468078,2024-02,2024
2024-02-07,Febrero,2024,Línea 1,Gratuidad,23711,2024-02,2024
2024-02-07,Febrero,2024,Línea 2,Prepago,240170,2024-02,2024
2024-02-07,Febrero,2024,Línea 2,Gratuidad,12850,2024-02,2024
2024-02-08,Febrero,2024,Línea 1,Prepago,470717,2024-02,2024
2024-02-08,Febrero,2024,Línea 1,Gratuidad,24920,2024-02,2024
2024-02-08,Febrero,2024,Línea 2,Prepago,240159,2024-02,2024
2024-02-08,Febrero,2024,Línea 2,Gratuidad,11876,2024-02,2024
2024-02-09,Febrero,2024,Línea 1,Prepago,486841,2024-02,2024
2024-02-09,Febrero,2024,Línea 1,Gratuidad,24139,2024-02,2024
2024-02-09,Febrero,2024,Línea 2,Prepago,255206,2024-02,2024
2024-02-09,Febrero,2024,Línea 2,Gratuidad,12318,2024-02,2024
2024-02-10,Febrero,2024,Línea 1,Prepago,293175,2024-02,2024
2024-02-10,Febrero,2024,Línea 1,Gratuidad,15973,2024-02,2024
2024-02-10,Febrero,2024,Línea 2,Prepago,160247,2024-02,2024
2024-02-10,Febrero,2024,Línea 2,Gratuidad,8818,2024-02,2024
2024-02-11,Febrero,2024,Línea 1,Prepago,190330,2024-02,2024
2024-02-11,Febrero,2024,Línea 1,Gratuidad,11294,2024-02,2024
2024-02-11,Febrero,2024,Línea 2,Prepago,112882,2024-02,2024
2024-02-11,Febrero,2024,Línea 2,Gratuidad,6024,2024-02,2024
2024-02-12,Febrero,2024,Línea 1,Prepago,454181,2024-02,2024
2024-02-12,Febrero,2024,Línea 1,Gratuidad,23147,2024-02,2024
2024-02-12,Febrero,2024,Línea 2,Prepago,230201,2024-02,2024
2024-02-12,Febrero,2024,Línea 2,Gratuidad,12598,2024-02,2024
2024-02-13,Febrero,2024,Línea 1,Prepago,451748,2024-02,2024
2024-02-13,Febrero,2024,Línea 1,Gratuidad,22942,2024-02,2024
2024-02-13,Febrero,2024,Línea 2,Prepago,255088,2024-02,2024
2024-02-13,Febrero,2024,Línea 2,Gratuidad,13235,2024-02,2024
2024-02-14,Febrero,2024,Línea 1,Prepago,503087,2024-02,2024
2024-02-14,Febrero,2024,Línea 1,Gratuidad,25202,2024-02,2024
2024-02-14,Febrero,2024,Línea 2,Prepago,252954,2024-02,2024
2024-02-14,Febrero,2024,Línea 2,Gratuidad,11553,2024-02,2024
2024-02-15,Febrero,2024,Línea 1,Prepago,473213,2024-02,2024
2024-02-15,Febrero,2024,Línea 1,Gratuidad,23597,2024-02,2024
2024-02-15,Febrero,2024,Línea 2,Prepago,248963,2024-02,2024
2024-02-15,Febrero,2024,Línea 2,Gratuidad,12919,2024-02,2024
2024-02-16,Febrero,2024,Línea 1,Prepago,493030,2024-02,2024
2024-02-16,Febrero,2024,Línea 1,Gratuidad,23129,2024-02,2024
2024-02-16,Febrero,2024,Línea 2,Prepago,253356,2024-02,2024
2024-02-16,Febrero,2024,Línea 2,Gratuidad,11069,2024-02,2024
2024-02-17,Febrero,2024,Línea 1,Prepago,286983,2024-02,2024
2024-02-17,Febrero,2024,Línea 1,Gratuidad,14633,2024-02,2024
2024-02-17,Febrero,2024,Línea 2,Prepago,161501,2024-02,2024
2024-02-17,Febrero,2024,Línea 2,Gratuidad,7320,2024-02,2024
2024-02-18,Febrero,2024,Línea 1,Prepago,203226,2024-02,2024
2024-02-18,Febrero,2024,Línea 1,Gratuidad,12140,2024-02,2024
2024-02-18,Febrero,2024,Línea 2,Prepago,132066,2024-02,2024
2024-02-18,Febrero,2024,Línea 2,Gratuidad,6312,2024-02,2024
2024-02-19,Febrero,2024,Línea 1,Prepago,456546,2024-02,2024
2024-02-19,Febrero,2024,Línea 1,Gratuidad,23569,2024-02,2024
2024-02-19,Febrero,2024,Línea 2,Prepago,227396,2024-02,2024
2024-02-19,Febrero,2024,Línea 2,Gratuidad,11415,2024-02,2024
2024-02-20,Febrero,2024,Línea 1,Prepago,481376,2024-02,2024
2024-02-20,Febrero,2024,Línea 1,Gratuidad,24556,2024-02,2024
2024-02-20,Febrero,2024,Línea 2,Prepago,255678,2024-02,2024
2024-02-20,Febrero,2024,Línea 2,Gratuidad,11982,2024-02,2024
2024-02-21,Febrero,2024,Línea 1,Prepago,480263,2024-02,2024
2024-02-21,Febrero,2024,Línea 1,Gratuidad,23986,2024-02,2024
2024-02-21,Febrero,2024,Línea 2,Prepago,253563,2024-02,2024
2024-02-21,Febrero,2024,Línea 2,Gratuidad,9891,2024-02,2024
2024-02-22,Febrero,2024,Línea 1,Prepago,493924,2024-02,2024
2024-02-22,Febrero,2024,Línea 1,Gratuidad,22920,2024-02,2024
2024-02-22,Febrero,2024,Línea 2,Prepago,242460,2024-02,2024
2024-02-22,Febrero,2024,Línea 2,Gratuidad,13383,2024-02,2024
2024-02-23,Febrero,2024,Línea 1,Prepago,495052,2024-02,2024
2024-02-23,Febrero,2024,Línea 1,Gratuidad,26521,2024-02,2024
2024-02-23,Febrero,2024,Línea 2,Prepago,279224,2024-02,2024
2024-02-23,Febrero,2024,Línea 2,Gratuidad,13807,2024-02,2024
2024-02-24,Febrero,2024,Línea 1,Prepago,310955,2024-02,2024
2024-02-24,Febrero,2024,Línea 1,Gratuidad,17908,2024-02,2024
2024-02-24,Febrero,2024,Línea 2,Prepago,159445,2024-02,2024
2024-02-24,Febrero,2024,Línea 2,Gratuidad,10877,2024-02,2024
2024-02-25,Febrero,2024,Línea 1,Prepago,201142,2024-02,2024
2024-02-25,Febrero,2024,Línea 1,Gratuidad,11713,2024-02,2024
2024-02-25,Febrero,2024,Línea 2,Prepago,122234,2024-02,2024
2024-02-25,Febrero,2024,Línea 2,Gratuidad,7777,2024-02,2024
2024-02-26,Febrero,2024,Línea 1,Prepago,458438,2024-02,2024
2024-02-26,Febrero,2024,Línea 1,Gratuidad,25496,2024-02,2024
2024-02-26,Febrero,2024,Línea 2,Prepago,244367,2024-02,2024
2024-02-26,Febrero,2024,Línea 2,Gratuidad,13285,2024-02,2024
2024-02-27,Febrero,2024,Línea 1,Prepago,467140,2024-02,2024
2024-02-27,Febrero,2024,Línea 1,Gratuidad,24787,2024-02,2024
2024-02-27,Febrero,2024,Línea 2,Prepago,250004,2024-02,2024
2024-02-27,Febrero,2024,Línea 2,Gratuidad,14653,2024-02,2024
2024-02-28,Febrero,2024,Línea 1,Prepago,465198,2024-02,2024
2024-02-28,Febrero,2024,Línea 1,Gratuidad,25422,2024-02,2024
2024-02-28,Febrero,2024,Línea 2,Prepago,252141,2024-02,2024
2024-02-28,Febrero,2024,Línea 2,Gratuidad,13959,2024-02,2024
2024-02-29,Febrero,2024,Línea 1,Prepago,490552,2024-02,2024
2024-02-29,Febrero,2024,Línea 1,Gratuidad,26007,2024-02,2024
2024-02-29,Febrero,2024,Línea 2,Prepago,255329,2024-02,2024
2024-02-29,Febrero,2024,Línea 2,Gratuidad,12692,2024-02,2024
2024-03-01,Marzo,2024,Línea 1,Prepago,501020,2024-03,2024
2024-03-01,Marzo,2024,Línea 1,Gratuidad,24990,2024-03,2024
2024-03-02,Marzo,2024,Línea 1,Prepago,302476,2024-03,2024
2024-03-02,Marzo,2024,Línea 1,Gratuidad,16924,2024-03,2024
2024-03-03,Marzo,2024,Línea 1,Prepago,203991,2024-03,2024
2024-03-03,Marzo,2024,Línea 1,Gratuidad,12457,2024-03,2024
2024-03-04,Marzo,2024,Línea 1,Prepago,458577,2024-03,2024
2024-03-04,Marzo,2024,Línea 1,Gratuidad,24468,2024-03,2024
2024-03-05,Marzo,2024,Línea 1,Prepago,472682,2024-03,2024
2024-03-05,Marzo,2024,Línea 1,Gratuidad,23915,2024-03,2024
2024-03-06,Marzo,2024,Línea 1,Prepago,480201,2024-03,2024
2024-03-06,Marzo,2024,Línea 1,Gratuidad,25467,2024-03,2024
2024-03-07,Marzo,2024,Línea 1,Prepago,496070,2024-03,2024
2024-03-07,Marzo,2024,Línea 1,Gratuidad,26353,2024-03,2024
2024-03-08,Marzo,2024,Línea 1,Prepago,436428,2024-03,2024
2024-03-08,Marzo,2024,Línea 1,Gratuidad,21567,2024-03,2024
2024-03-09,Marzo,2024,Línea 1,Prepago,282526,2024-03,2024
2024-03-09,Marzo,2024,Línea 1,Gratuidad,17415,2024-03,2024
2024-03-10,Marzo,2024,Línea 1,Prepago,197087,2024-03,2024
2024-03-10,Marzo,2024,Línea 1,Gratuidad,12751,2024-03,2024
2024-03-11,Marzo,2024,Línea 1,Prepago,442192,2024-03,2024
2024-03-11,Marzo,2024,Línea 1,Gratuidad,23065,2024-03,2024
2024-03-12,Marzo,2024,Línea 1,Prepago,462616,2024-03,2024
2024-03-12,Marzo,2024,Línea 1,Gratuidad,24276,2024-03,2024
2024-03-13,Marzo,2024,Línea 1,Prepago,464528,2024-03,2024
2024-03-13,Marzo,2024,Línea 1,Gratuidad,25277,2024-03,2024
2024-03-14,Marzo,2024,Línea 1,Prepago,479833,2024-03,2024
2024-03-14,Marzo,2024,Línea 1,Gratuidad,25490,2024-03,2024
2024-03-15,Marzo,2024,Línea 1,Prepago,492235,2024-03,2024
2024-03-15,Marzo,2024,Línea 1,Gratuidad,25009,2024-03,2024
2024-03-16,Marzo,2024,Línea 1,Prepago,326733,2024-03,2024
2024-03-16,Marzo,2024,Línea 1,Gratuidad,17296,2024-03,2024
2024-03-17,Marzo,2024,Línea 1,Prepago,189850,2024-03,2024
2024-03-17,Marzo,2024,Línea 1,Gratuidad,11410,2024-03,2024
2024-03-18,Marzo,2024,Línea 1,Prepago,191005,2024-03,2024
2024-03-18,Marzo,2024,Línea 1,Gratuidad,12565,2024-03,2024
2024-03-19,Marzo,2024,Línea 1,Prepago,464459,2024-03,2024
2024-03-19,Marzo,2024,Línea 1,Gratuidad,26133,2024-03,2024
2024-03-20,Marzo,2024,Línea 1,Prepago,487494,2024-03,2024
2024-03-20,Marzo,2024,Línea 1,Gratuidad,24878,2024-03,2024
2024-03-21,Marzo,2024,Línea 1,Prepago,492871,2024-03,2024
2024-03-21,Marzo,2024,Línea 1,Gratuidad,27287,2024-03,2024
2024-03-22,Marzo,2024,Línea 1,Prepago,488829,2024-03,2024
2024-03-22,Marzo,2024,Línea 1,Gratuidad,27158,2024-03,2024
2024-03-23,Marzo,2024,Línea 1,Prepago,274615,2024-03,2024
2024-03-23,Marzo,2024,Línea 1,Gratuidad,16308,2024-03,2024
2024-03-24,Marzo,2024,Línea 1,Prepago,193594,2024-03,2024
2024-03-24,Marzo,2024,Línea 1,Gratuidad,12996,2024-03,2024
2024-03-25,Marzo,2024,Línea 1,Prepago,393611,2024-03,2024
2024-03-25,Marzo,2024,Línea 1,Gratuidad,24250,2024-03,2024
2024-03-26,Marzo,2024,Línea 1,Prepago,409635,2024-03,2024
2024-03-26,Marzo,2024,Línea 1,Gratuidad,23379,2024-03,2024
2024-03-27,Marzo,2024,Línea 1,Prepago,404807,2024-03,2024
2024-03-27,Marzo,2024,Línea 1,Gratuidad,25007,2024-03,2024
2024-03-28,Marzo,2024,Línea 1,Prepago,247975,2024-03,2024
2024-03-28,Marzo,2024,Línea 1,Gratuidad,16036,2024-03,2024
2024-03-29,Marzo,2024,Línea 1,Prepago,200041,2024-03,2024
2024-03-29,Marzo,2024,Línea 1,Gratuidad,12309,2024-03,2024
2024-03-30,Marzo,2024,Línea 1,Prepago,200924,2024-03,2024
2024-03-30,Marzo,2024,Línea 1,Gratuidad,13930,2024-03,2024
2024-03-31,Marzo,2024,Línea 1,Prepago,165362,2024-03,2024
2024-03-31,Marzo,2024,Línea 1,Gratuidad,11227,2024-03,2024
2024-03-01,Marzo,2024,Línea 2,Prepago,266732,2024-03,2024
2024-03-01,Marzo,2024,Línea 2,Gratuidad,13620,2024-03,2024
2024-03-02,Marzo,2024,Línea 2,Prepago,173263,2024-03,2024
2024-03-02,Marzo,2024,Línea 2,Gratuidad,9893,2024-03,2024
2024-03-03,Marzo,2024,Línea 2,Prepago,107100,2024-03,2024
2024-03-03,Marzo,2024,Línea 2,Gratuidad,6433,2024-03,2024
2024-03-04,Marzo,2024,Línea 2,Prepago,250074,2024-03,2024
2024-03-04,Marzo,2024,Línea 2,Gratuidad,13801,2024-03,2024
2024-03-05,Marzo,2024,Línea 2,Prepago,262842,2024-03,2024
2024-03-05,Marzo,2024,Línea 2,Gratuidad,13319,2024-03,2024
2024-03-06,Marzo,2024,Línea 2,Prepago,258104,2024-03,2024
