fecha,mes,anio,linea,tipo_pago,afluencia,temporal_fecha,..anio_fecha
2025-01-18,Enero,2025,Línea 1,Prepago,305807,2025-01,2025
2025-01-18,Enero,2025,Línea 1,Gratuidad,22423,2025-01,2025
2025-01-19,Enero,2025,Línea 1,Prepago,249492,2025-01,2025
2025-01-19,Enero,2025,Línea 1,Gratuidad,15485,2025-01,2025
2025-01-20,Enero,2025,Línea 1,Prepago,392817,2025-01,2025
2025-01-20,Enero,2025,Línea 1,Gratuidad,33437,2025-01,2025
2025-01-21,Enero,2025,Línea 1,Prepago,462425,2025-01,2025
2025-01-21,Enero,2025,Línea 1,Gratuidad,33023,2025-01,2025
2025-01-22,Enero,2025,Línea 1,Prepago,474904,2025-01,2025
2025-01-22,Enero,2025,Línea 1,Gratuidad,35036,2025-01,2025
2025-01-23,Enero,2025,Línea 1,Prepago,469064,2025-01,2025
2025-01-23,Enero,2025,Línea 1,Gratuidad,34542,2025-01,2025
2025-01-24,Enero,2025,Línea 1,Prepago,471872,2025-01,2025
2025-01-24,Enero,2025,Línea 1,Gratuidad,32214,2025-01,2025
2025-01-25,Enero,2025,Línea 1,Prepago,306640,2025-01,2025
2025-01-25,Enero,2025,Línea 1,Gratuidad,21942,2025-01,2025
2025-01-26,Enero,2025,Línea 1,Prepago,206361,2025-01,2025
2025-01-26,Enero,2025,Línea 1,Gratuidad,14101,2025-01,2025
2025-01-27,Enero,2025,Línea 1,Prepago,438807,2025-01,2025
2025-01-27,Enero,2025,Línea 1,Gratuidad,31948,2025-01,2025
2025-01-28,Enero,2025,Línea 1,Prepago,487346,2025-01,2025
2025-01-28,Enero,2025,Línea 1,Gratuidad,36038,2025-01,2025
2025-01-29,Enero,2025,Línea 1,Prepago,463263,2025-01,2025
2025-01-29,Enero,2025,Línea 1,Gratuidad,32385,2025-01,2025
2025-01-30,Enero,2025,Línea 1,Prepago,471630,2025-01,2025
2025-01-30,Enero,2025,Línea 1,Gratuidad,34131,2025-01,2025
2025-01-31,Enero,2025,Línea 1,Prepago,491515,2025-01,2025
2025-01-31,Enero,2025,Línea 1,Gratuidad,36152,2025-01,2025
