YEAR,DOY,temp_aire_celsius,precipitacion,humedad_especifica,humedad_relativa
2025,32,"12,37","0,79","9,11","78,09"
2025,33,"12,6","2,83",9,"77,36"
2025,34,"13,01","0,04","7,64","67,09"
2025,35,"13,48","0,65","7,66","64,19"
2025,36,"13,86","0,34","7,55","63,15"
2025,37,"13,89","0,03","6,91","57,56"
2025,38,"13,69",0,"6,62","58,54"
2025,39,"13,78",0,"5,79","50,49"
2025,40,"14,63","0,04","5,66","43,81"
2025,41,"14,81","0,03","6,34","48,41"
2025,42,"13,82","0,31","8,04","65,32"
2025,43,"13,23","0,05","7,38","64,16"
2025,44,"13,75","0,34","6,95","60,41"
2025,45,"14,32","0,16","7,87","63,45"
2025,46,"14,08","0,06","7,8","60,45"
2025,47,"13,73","0,1","6,83","55,83"
2025,48,"14,1","0,59","8,65","67,92"
2025,49,"14,38","4,08","8,64","65,61"
2025,50,"11,2","1,34","7,94","73,35"
2025,51,"12,67","0,98","8,19","69,68"
2025,52,"12,76","6,09","8,93","74,96"
2025,53,"14,24","1,66","8,99","71,26"
2025,54,"14,47","0,27","8,32","65,13"
2025,55,"13,69",0,"5,32","45,38"
2025,56,"14,53",0,"4,56","38,89"
2025,57,"15,37",0,"7,02","52,88"
2025,58,"16,01","0,05","7,64","58,11"
2025,59,"15,57","0,39","8,04","60,46"
2025,60,"16,23","0,03","6,44","47,12"
2025,61,"16,59","0,16","6,3","44,19"
2025,62,"16,78","0,09","6,8","47,2"
2025,63,"15,47","0,08","5,55","42,9"
2025,64,"15,46","0,01","4,75","36,56"
2025,65,"14,86","0,01","5,24","40,6"
2025,66,"15,08",0,"4,9","38,7"
2025,67,"15,55",0,"5,51","43,53"
2025,68,"15,86",0,"4,95","37,23"
2025,69,"14,81",0,"5,48","43,69"
2025,70,"16,01",0,"5,9","45,26"
2025,71,"15,8",0,"4,63","37,84"
2025,72,"15,56",0,"4,37","34,57"
2025,73,"14,98",0,"4,13","35,74"
2025,74,"14,52",0,"4,21","38,92"
2025,75,"14,91","0,01","4,34","37,99"
2025,76,"14,09",0,"4,83","44,31"
2025,77,"16,27",0,"5,24","39,69"
2025,78,"16,31",0,"5,18","39,62"
2025,79,"12,23","0,18","7,15","63,12"
2025,80,"15,55","1,08","7,73","58,5"
2025,81,"15,52","1,18","7,62","55,85"
2025,82,"17,05","0,16","6,26","44,01"
2025,83,"16,97","0,01","6,29","42,72"
2025,84,"16,88","0,32","7,51","51,67"
2025,85,"16,28","1,12","8,65","60,08"
2025,86,"15,54","0,09","6,37","47,77"
2025,87,"14,67","0,01","4,24","35,5"
2025,88,"15,33",0,"3,42","27,47"
2025,89,"16,52",0,"3,6","27,13"
2025,90,"17,98",0,"4,03","27,05"
2025,91,"18,46",0,"4,83","29,59"
2025,92,"18,05",0,"5,07","31,64"
2025,93,"17,4",0,"5,12","34,01"
2025,94,"16,72",0,"5,09","36,51"
2025,95,"17,1",0,"5,97","41,3"
2025,96,"17,06",0,"5,93","42,17"
2025,97,"15,83",0,"5,98","45,61"
2025,98,"14,22","0,25","6,67","53,51"
2025,99,"15,67","0,08","6,09","46,25"
2025,100,"15,2",0,"3,64","30,76"
2025,101,"13,11",0,"3,72","36,43"
2025,102,"12,71",0,"3,78","38,25"
2025,103,"13,93",0,"3,5","32,95"
2025,104,"15,4",0,"3,53","29,93"
2025,105,"15,22",0,"3,91","33,42"
2025,106,"15,82",0,5,"43,35"
2025,107,"17,93",0,"5,3","35,59"
2025,108,"18,53","0,29","5,54","34,37"
2025,109,"19,3","0,33","6,5","38,73"
2025,110,"19,08","0,57","6,52","39,75"
2025,111,"18,47","0,62","8,06","51,05"
2025,112,"18,88","0,19","7,61","47,22"
2025,113,"19,08","0,01","6,98","42,01"
2025,114,"19,47","0,21","6,56","38,53"
2025,115,"18,75","0,79","7,69","47,62"
2025,116,"18,75","0,23","7,65","49,44"
2025,117,"18,44",0,"5,72","38,79"
2025,118,"18,45",0,"5,55","36,97"
2025,119,"18,23","0,5","7,58","48,82"
2025,120,"17,73","1,18","8,38","52,45"
2025,121,"18,31","0,45","7,84","49,22"
2025,122,"19,04","0,07","7,51","45,39"
2025,123,"19,32","0,76","7,36","43,44"
2025,124,"18,84","0,43","7,65","46,89"
2025,125,"19,16",0,"6,63","41,26"
2025,126,"19,04",0,"6,8","41,9"
2025,127,"20,72","0,4","6,34","36,65"
2025,128,"20,15","1,04","8,06","45,5"
2025,129,"20,8","0,25","7,2","45,1"
2025,130,"21,1","0,1",7,"43,8"
2025,131,"21,3","0,05","6,8","42,5"
2025,132,"21,5",0,"6,5","40,2"
2025,133,"21,7",0,"6,3","38,9"
2025,134,22,0,"6,1","37,6"
2025,135,"22,2","0,15","6,4","39,2"
2025,136,"22,4","0,3","6,7","41,8"
2025,137,"22,1","0,45",7,"44,5"
2025,138,"21,8","0,6","7,3","47,1"
2025,139,"21,5","0,2","7,1","45,8"
2025,140,"21,2","0,1","6,9","44,5"
2025,141,21,0,"6,7","43,2"
2025,142,"20,8",0,"6,5","41,9"
2025,143,"20,6",0,"6,3","40,6"
2025,144,"20,4","0,05","6,6","42,2"
2025,145,"20,2","0,1","6,9","43,8"
2025,146,20,"0,15","7,2","45,5"
2025,147,"19,8","0,2","7,5","47,1"
2025,148,"19,6","0,1","7,3","45,8"
2025,149,"19,4","0,05","7,1","44,5"
2025,150,"19,2",0,"6,9","43,2"
2025,151,19,0,"6,7","41,9"
