fecha,mes,anio,linea,tipo_pago,afluencia,temporal_fecha,..anio_fecha
2025-02-01,Febrero,2025,Línea 1,Prepago,307302,2025-02,2025
2025-02-01,Febrero,2025,Línea 1,Gratuidad,21869,2025-02,2025
2025-02-02,Febrero,2025,Línea 1,Prepago,209228,2025-02,2025
2025-02-02,Febrero,2025,Línea 1,Gratuidad,14076,2025-02,2025
2025-02-03,Febrero,2025,Línea 1,Prepago,167960,2025-02,2025
2025-02-03,Febrero,2025,Línea 1,Gratuidad,16963,2025-02,2025
2025-02-04,Febrero,2025,Línea 1,Prepago,486853,2025-02,2025
2025-02-04,Febrero,2025,Línea 1,Gratuidad,33963,2025-02,2025
2025-02-05,Febrero,2025,Línea 1,Prepago,486599,2025-02,2025
2025-02-05,Febrero,2025,Línea 1,Gratuidad,35634,2025-02,2025
2025-02-06,Febrero,2025,Línea 1,Prepago,495122,2025-02,2025
2025-02-06,Febrero,2025,Línea 1,Gratuidad,35524,2025-02,2025
2025-02-07,Febrero,2025,Línea 1,Prepago,478856,2025-02,2025
2025-02-07,Febrero,2025,Línea 1,Gratuidad,33978,2025-02,2025
2025-02-08,Febrero,2025,Línea 1,Prepago,319832,2025-02,2025
2025-02-08,Febrero,2025,Línea 1,Gratuidad,21853,2025-02,2025
2025-02-09,Febrero,2025,Línea 1,Prepago,215064,2025-02,2025
2025-02-09,Febrero,2025,Línea 1,Gratuidad,14822,2025-02,2025
2025-02-10,Febrero,2025,Línea 1,Prepago,435141,2025-02,2025
2025-02-10,Febrero,2025,Línea 1,Gratuidad,32001,2025-02,2025
2025-02-11,Febrero,2025,Línea 1,Prepago,484652,2025-02,2025
2025-02-11,Febrero,2025,Línea 1,Gratuidad,35538,2025-02,2025
2025-02-12,Febrero,2025,Línea 1,Prepago,490966,2025-02,2025
2025-02-12,Febrero,2025,Línea 1,Gratuidad,36285,2025-02,2025
2025-02-13,Febrero,2025,Línea 1,Prepago,502401,2025-02,2025
2025-02-13,Febrero,2025,Línea 1,Gratuidad,32400,2025-02,2025
2025-02-14,Febrero,2025,Línea 1,Prepago,513087,2025-02,2025
2025-02-14,Febrero,2025,Línea 1,Gratuidad,32684,2025-02,2025
2025-02-15,Febrero,2025,Línea 1,Prepago,332324,2025-02,2025
2025-02-15,Febrero,2025,Línea 1,Gratuidad,21581,2025-02,2025
2025-02-16,Febrero,2025,Línea 1,Prepago,198586,2025-02,2025
2025-02-16,Febrero,2025,Línea 1,Gratuidad,13425,2025-02,2025
2025-02-17,Febrero,2025,Línea 1,Prepago,419591,2025-02,2025
2025-02-17,Febrero,2025,Línea 1,Gratuidad,29524,2025-02,2025
2025-02-18,Febrero,2025,Línea 1,Prepago,474629,2025-02,2025
2025-02-18,Febrero,2025,Línea 1,Gratuidad,34753,2025-02,2025
2025-02-19,Febrero,2025,Línea 1,Prepago,499365,2025-02,2025
2025-02-19,Febrero,2025,Línea 1,Gratuidad,31868,2025-02,2025
2025-02-20,Febrero,2025,Línea 1,Prepago,493191,2025-02,2025
2025-02-20,Febrero,2025,Línea 1,Gratuidad,33197,2025-02,2025
2025-02-21,Febrero,2025,Línea 1,Prepago,483188,2025-02,2025
2025-02-21,Febrero,2025,Línea 1,Gratuidad,33473,2025-02,2025
2025-02-22,Febrero,2025,Línea 1,Prepago,313240,2025-02,2025
2025-02-22,Febrero,2025,Línea 1,Gratuidad,21579,2025-02,2025
2025-02-23,Febrero,2025,Línea 1,Prepago,210394,2025-02,2025
